Date;Open;High;Low;Close;Adj Close;Volume
28/12/2020;6.175;6.175;5.950;6.075;5.931.702.637;32572200
29/12/2020;6.100;6.175;6.000;6.050;5.907.291.992;40341500
30/12/2020;6.100;6.125;6.025;6.025;5.882.881.836;39615400
04/01/2021;6.100;6.250;6.025;6.225;6.078.164.063;34840200
05/01/2021;6.225;6.250;6.150;6.175;6.029.343.750;27318400
06/01/2021;6.175;6.225;5.950;6.150;6.004.933.594;42778200
07/01/2021;6.175;6.200;6.075;6.075;5.931.702.637;33536400
08/01/2021;6.150;6.475;6.100;6.425;6.273.446.777;88590400
11/01/2021;6.500;6.600;6.475;6.525;6.371.088.379;57622400
12/01/2021;6.425;6.650;6.400;6.525;6.371.088.379;38226200
13/01/2021;6.600;6.800;6.500;6.775;6.615.190.918;56171600
14/01/2021;6.850;6.925;6.775;6.775;6.615.190.918;48209800
15/01/2021;6.800;6.850;6.525;6.575;6.419.908.691;45722300
18/01/2021;6.575;6.700;6.525;6.675;6.517.549.805;48444700
19/01/2021;6.775;6.775;6.575;6.675;6.517.549.805;37236400
20/01/2021;6.625;6.775;6.625;6.675;6.517.549.805;27403000
21/01/2021;6.800;6.800;6.725;6.800;6.639.601.563;32219700
22/01/2021;6.825;6.850;6.600;6.700;6.541.959.961;34960500
25/01/2021;6.650;6.650;6.325;6.475;6.322.267.090;73391700
26/01/2021;6.475;6.575;6.300;6.350;6.200.215.820;39158300
27/01/2021;6.350;6.350;6.150;6.275;6.126.984.863;56444100
28/01/2021;6.150;6.450;6.150;6.275;6.126.984.863;54596400
29/01/2021;6.300;6.375;5.950;6.100;5.956.113.281;71886200
01/02/2021;5.850;6.075;5.750;6.025;5.882.881.836;57416200
02/02/2021;6.150;6.150;5.875;5.975;5.834.061.523;42421400
03/02/2021;6.075;6.275;5.950;6.150;6.004.933.594;76420800
04/02/2021;6.225;6.225;6.125;6.200;6.053.753.906;29508100
05/02/2021;6.250;6.250;6.050;6.100;5.956.113.281;34366600
08/02/2021;6.200;6.200;6.075;6.100;5.956.113.281;28817400
09/02/2021;6.100;6.200;5.825;5.825;5.687.599.609;113795000
10/02/2021;5.850;5.975;5.825;5.900;5.760.830.566;43492200
11/02/2021;5.875;5.950;5.825;5.850;5.712.010.254;37890700
15/02/2021;6.100;6.250;5.950;5.950;5.809.650.879;178642200
16/02/2021;5.975;6.000;5.900;5.925;5.785.240.723;35796600
17/02/2021;5.900;5.925;5.750;5.800;5.663.188.965;56517500
18/02/2021;5.750;5.875;5.725;5.725;5.589.958.496;56765900
19/02/2021;5.725;5.850;5.725;5.775;5.638.778.809;42627800
22/02/2021;5.825;5.850;5.700;5.700;5.565.548.340;55230300
23/02/2021;5.700;5.825;5.700;5.725;5.589.958.496;60745000
24/02/2021;5.775;5.850;5.600;5.625;5.492.317.383;73050200
25/02/2021;5.700;5.700;5.475;5.575;5.443.496.582;123672200
26/02/2021;5.450;5.525;5.350;5.400;5.272.624.512;146271500
01/03/2021;5.500;5.600;5.450;5.600;5.467.906.738;118418900
02/03/2021;5.650;5.675;5.550;5.575;5.443.496.582;87061500
03/03/2021;5.625;5.700;5.525;5.675;5.541.137.695;49030200
04/03/2021;5.675;5.700;5.525;5.575;5.443.496.582;70766800
05/03/2021;5.525;5.575;5.475;5.500;5.370.265.625;48034400
08/03/2021;5.550;5.625;5.475;5.550;5.419.086.426;55652900
09/03/2021;5.550;5.650;5.400;5.525;5.394.675.781;66908800
10/03/2021;5.500;5.525;5.400;5.425;5.297.035.156;66154200
12/03/2021;5.550;5.575;5.450;5.475;5.345.855.469;87065000
15/03/2021;5.525;5.625;5.500;5.525;5.394.675.781;48489500
16/03/2021;5.600;5.725;5.550;5.550;5.419.086.426;64804400
17/03/2021;5.625;5.650;5.550;5.575;5.443.496.582;61881600
18/03/2021;5.675;5.800;5.625;5.725;5.589.958.496;90338700
19/03/2021;5.725;5.775;5.625;5.775;5.638.778.809;80429800
22/03/2021;5.750;5.775;5.550;5.575;5.443.496.582;57320300
23/03/2021;5.550;5.675;5.550;5.575;5.443.496.582;46973100
24/03/2021;5.575;5.600;5.450;5.450;5.321.445.313;40065300
25/03/2021;5.450;5.525;5.400;5.450;5.321.445.313;49497900
26/03/2021;5.525;5.600;5.475;5.600;5.467.906.738;24880300
29/03/2021;5.600;5.650;5.525;5.525;5.394.675.781;25164100
30/03/2021;5.475;5.550;5.400;5.400;5.272.624.512;55842300
31/03/2021;5.450;5.450;5.225;5.275;5.150.573.242;89835200
01/04/2021;5.350;5.400;5.325;5.350;5.223.803.711;33323600
05/04/2021;5.425;5.450;5.350;5.350;5.223.803.711;29142200
06/04/2021;5.375;5.400;5.300;5.350;5.223.803.711;26040800
07/04/2021;5.300;5.350;5.275;5.325;5.199.393.555;33361900
08/04/2021;5.375;5.375;5.300;5.300;5.174.983.398;43680100
09/04/2021;5.300;5.400;5.275;5.275;5.150.573.242;59348800
12/04/2021;5.250;5.275;5.050;5.075;4.955.290.527;68211200
13/04/2021;5.025;5.175;5.025;5.075;4.955.290.527;53505400
14/04/2021;5.150;5.275;5.100;5.250;5.126.162.598;39277800
15/04/2021;5.250;5.275;5.175;5.250;5.126.162.598;34533700
16/04/2021;5.300;5.325;5.200;5.250;5.126.162.598;38151200
19/04/2021;5.225;5.250;5.200;5.200;5.077.342.285;30832600
20/04/2021;5.150;5.300;5.150;5.300;5.174.983.398;46601200
21/04/2021;5.225;5.275;5.200;5.225;5.101.752.441;47261000
22/04/2021;5.225;5.500;5.225;5.450;5.321.445.313;86785100
23/04/2021;5.500;5.650;5.475;5.625;5.492.317.383;95175600
26/04/2021;5.625;5.675;5.600;5.625;5.492.317.383;65428000
27/04/2021;5.625;5.650;5.475;5.525;5.394.675.781;41552600
28/04/2021;5.400;5.575;5.325;5.350;5.223.803.711;72011700
29/04/2021;5.350;5.475;5.350;5.425;5.297.035.156;43203100
30/04/2021;5.450;5.550;5.375;5.500;5.370.265.625;56668600
03/05/2021;5.450;5.500;5.400;5.425;5.382.170.898;29451000
04/05/2021;5.500;5.575;5.425;5.500;5.456.578.613;39860400
05/05/2021;5.525;5.600;5.475;5.525;5.481.381.348;27270000
06/05/2021;5.600;5.600;5.400;5.425;5.382.170.898;34361400
07/05/2021;5.450;5.475;5.275;5.325;5.282.960.449;30771700
10/05/2021;5.350;5.425;5.350;5.375;5.332.565.918;25429700
11/05/2021;5.400;5.425;5.175;5.225;5.183.750.000;49162600
17/05/2021;5.300;5.325;5.125;5.175;5.134.144.531;47623100
18/05/2021;5.150;5.200;5.100;5.150;5.109.341.797;45784300
19/05/2021;5.100;5.125;5.025;5.050;5.010.131.348;47008800
20/05/2021;5.050;5.200;5.025;5.175;5.134.144.531;49746900
21/05/2021;5.175;5.225;5.050;5.050;5.010.131.348;43416900
24/05/2021;5.100;5.150;5.025;5.100;5.059.736.816;33540000
25/05/2021;5.100;5.150;5.050;5.075;5.034.934.082;45393500
27/05/2021;5.100;5.225;5.075;5.150;5.109.341.797;99709500
28/05/2021;5.175;5.225;5.125;5.150;5.109.341.797;24346700
31/05/2021;5.175;5.300;5.150;5.250;5.208.552.734;41498000
02/06/2021;5.350;5.350;5.275;5.325;5.282.960.449;43217400
03/06/2021;5.350;5.350;5.275;5.350;5.307.763.184;49012700
04/06/2021;5.325;5.350;5.200;5.225;5.183.750.000;35211100
07/06/2021;5.225;5.300;5.200;5.250;5.208.552.734;31693200
08/06/2021;5.300;5.325;5.200;5.275;5.233.354.980;35402300
09/06/2021;5.275;5.350;5.225;5.325;5.282.960.449;24331300
10/06/2021;5.400;5.425;5.325;5.400;5.357.368.164;42924200
11/06/2021;5.400;5.425;5.250;5.275;5.233.354.980;44421700
14/06/2021;5.350;5.350;5.150;5.175;5.134.144.531;40699500
15/06/2021;5.175;5.200;5.125;5.150;5.109.341.797;35915800
16/06/2021;5.200;5.200;5.125;5.150;5.109.341.797;29144900
17/06/2021;5.125;5.150;5.075;5.100;5.059.736.816;38074600
18/06/2021;5.075;5.125;4.900;5.000;4.960.526.367;112157600
21/06/2021;4.920;4.970;4.760;4.920;4.881.157.715;48183300
22/06/2021;4.920;5.025;4.900;4.920;4.881.157.715;47156200
23/06/2021;4.980;5.025;4.920;4.930;4.891.079.102;46351900
24/06/2021;4.930;4.980;4.910;4.940;4.901.000.000;24665200
25/06/2021;4.940;4.980;4.910;4.920;4.881.157.715;33125300
28/06/2021;4.920;4.930;4.710;4.710;4.672.815.918;53083400
29/06/2021;4.730;4.920;4.710;4.840;4.801.789.551;70425700
30/06/2021;4.830;5.000;4.820;4.940;4.901.000.000;34641700
01/07/2021;4.990;5.100;4.950;5.025;4.985.329.102;42856900
02/07/2021;5.025;5.075;4.980;5.000;4.960.526.367;22436900
05/07/2021;5.050;5.075;4.920;4.940;4.901.000.000;27554100
06/07/2021;4.970;4.970;4.890;4.900;4.861.315.918;31280100
07/07/2021;4.900;4.990;4.860;4.900;4.861.315.918;35907800
08/07/2021;4.930;4.960;4.850;4.880;4.841.473.633;40566600
09/07/2021;4.880;4.920;4.870;4.910;4.871.236.816;21088500
12/07/2021;4.910;4.950;4.880;4.920;4.881.157.715;26816600
13/07/2021;4.950;4.960;4.850;4.900;4.861.315.918;28998600
14/07/2021;4.920;4.920;4.730;4.730;4.692.657.715;43408700
15/07/2021;4.730;4.840;4.640;4.810;4.772.026.367;50750700
16/07/2021;4.840;4.910;4.820;4.880;4.841.473.633;32544000
19/07/2021;4.850;4.870;4.780;4.780;4.742.263.184;25106100
21/07/2021;4.780;4.930;4.780;4.870;4.831.552.734;41716000
22/07/2021;4.930;5.025;4.900;4.980;4.940.684.082;36287300
23/07/2021;5.000;5.000;4.910;4.950;4.910.920.898;26847700
26/07/2021;4.950;4.970;4.770;4.770;4.732.341.797;43373400
27/07/2021;4.770;4.830;4.730;4.760;4.722.420.898;42635500
28/07/2021;4.780;4.790;4.710;4.710;4.672.815.918;24083000
29/07/2021;4.720;4.740;4.650;4.650;4.613.289.551;50238500
30/07/2021;4.710;4.840;4.670;4.720;4.682.736.816;65379500
02/08/2021;4.730;4.820;4.730;4.820;4.781.947.266;39192600
03/08/2021;4.840;4.970;4.830;4.940;4.901.000.000;46414100
04/08/2021;4.970;4.970;4.870;4.900;4.861.315.918;25646900
05/08/2021;4.900;4.930;4.860;4.890;4.851.394.531;31304900
06/08/2021;4.940;4.980;4.880;4.940;4.901.000.000;45454600
09/08/2021;4.940;4.950;4.830;4.860;4.821.631.348;31858700
10/08/2021;4.900;4.930;4.840;4.910;4.871.236.816;41920300
12/08/2021;4.940;4.960;4.880;4.940;4.901.000.000;22191700
13/08/2021;4.960;5.075;4.960;5.025;4.985.329.102;62673300
16/08/2021;5.050;5.075;4.990;5.075;5.034.934.082;46949700
18/08/2021;5.100;5.300;5.075;5.225;5.183.750.000;102560600
19/08/2021;5.225;5.275;5.075;5.150;5.109.341.797;53594900
20/08/2021;5.150;5.150;5.000;5.100;5.059.736.816;32878200
23/08/2021;5.100;5.150;5.050;5.100;5.059.736.816;30921500
24/08/2021;5.175;5.175;5.050;5.075;5.034.934.082;32783500
25/08/2021;5.150;5.200;5.075;5.150;5.109.341.797;26870400
26/08/2021;5.200;5.200;5.050;5.100;5.059.736.816;28757400
27/08/2021;5.100;5.100;5.050;5.050;5.010.131.348;26966100
30/08/2021;5.100;5.275;5.100;5.275;5.233.354.980;51914600
31/08/2021;5.275;5.300;5.200;5.225;5.183.750.000;45649200
01/09/2021;5.225;5.275;5.100;5.175;5.134.144.531;26732500
02/09/2021;5.200;5.250;5.175;5.250;5.208.552.734;17335000
03/09/2021;5.250;5.350;5.200;5.350;5.307.763.184;28004500
06/09/2021;5.375;5.450;5.325;5.425;5.382.170.898;28315200
07/09/2021;5.425;5.450;5.300;5.350;5.307.763.184;23685800
08/09/2021;5.375;5.375;5.250;5.250;5.208.552.734;44076000
09/09/2021;5.250;5.450;5.250;5.450;5.406.973.633;49118000
10/09/2021;5.450;5.475;5.375;5.425;5.382.170.898;31997100
13/09/2021;5.425;5.500;5.350;5.450;5.406.973.633;29796400
14/09/2021;5.500;5.550;5.450;5.525;5.481.381.348;34356900
15/09/2021;5.525;5.550;5.375;5.400;5.357.368.164;61522300
16/09/2021;5.425;5.475;5.350;5.375;5.332.565.918;27187700
17/09/2021;5.375;5.425;5.275;5.425;5.382.170.898;44004000
20/09/2021;5.425;5.425;5.225;5.300;5.258.157.715;46896100
21/09/2021;5.275;5.275;5.150;5.225;5.183.750.000;23656300
22/09/2021;5.225;5.350;5.200;5.275;5.233.354.980;21750800
23/09/2021;5.275;5.325;5.150;5.150;5.109.341.797;27178400
24/09/2021;5.150;5.225;5.125;5.150;5.109.341.797;29394300
27/09/2021;5.150;5.225;5.125;5.175;5.134.144.531;25252300
28/09/2021;5.175;5.200;5.075;5.075;5.034.934.082;35640900
29/09/2021;5.075;5.350;5.050;5.325;5.282.960.449;42995900
30/09/2021;5.375;5.500;5.300;5.500;5.456.578.613;44723000
01/10/2021;5.450;5.500;5.400;5.450;5.406.973.633;27484100
04/10/2021;5.500;5.625;5.475;5.575;5.530.986.816;52074900
05/10/2021;5.575;5.650;5.500;5.550;5.506.184.082;27128000
06/10/2021;5.600;6.100;5.575;5.975;5.927.828.613;168237500
07/10/2021;5.975;6.000;5.700;5.700;5.655.000.000;97516000
08/10/2021;5.700;5.975;5.625;5.900;5.900.000.000;91094200
11/10/2021;5.925;5.950;5.775;5.775;5.775.000.000;38994500
12/10/2021;5.800;5.950;5.775;5.875;5.875.000.000;68823100
13/10/2021;5.950;6.300;5.925;6.275;6.275.000.000;143652900
14/10/2021;6.300;6.450;6.125;6.225;6.225.000.000;104502800
15/10/2021;6.275;6.300;6.125;6.250;6.250.000.000;82896700
18/10/2021;6.275;6.350;6.200;6.225;6.225.000.000;61419000
19/10/2021;6.275;6.375;6.200;6.350;6.350.000.000;52117000
21/10/2021;6.350;6.350;6.125;6.150;6.150.000.000;132905200
22/10/2021;6.150;6.225;6.125;6.175;6.175.000.000;26886400
25/10/2021;6.200;6.225;6.025;6.050;6.050.000.000;51872000
26/10/2021;6.050;6.175;6.050;6.150;6.150.000.000;25950500
27/10/2021;6.100;6.125;6.000;6.000;6.000.000.000;40588700
28/10/2021;6.000;6.175;5.950;6.000;6.000.000.000;50046900
29/10/2021;6.225;6.250;6.025;6.025;6.025.000.000;82397400
01/11/2021;6.050;6.150;6.025;6.025;6.025.000.000;37254100
02/11/2021;6.025;6.100;5.900;5.900;5.900.000.000;25293400
03/11/2021;5.900;6.025;5.825;5.975;5.975.000.000;90495000
04/11/2021;6.075;6.075;5.950;5.975;5.975.000.000;41774200
05/11/2021;5.900;5.975;5.850;5.925;5.925.000.000;80775400
08/11/2021;5.925;6.000;5.900;5.925;5.925.000.000;23177300
09/11/2021;5.900;5.950;5.850;5.850;5.850.000.000;41112200
10/11/2021;5.925;6.250;5.875;6.175;6.175.000.000;104312600
11/11/2021;6.200;6.250;6.150;6.175;6.175.000.000;51111700
12/11/2021;6.200;6.225;6.075;6.150;6.150.000.000;26920800
15/11/2021;6.150;6.175;6.050;6.125;6.125.000.000;22148900
16/11/2021;6.125;6.250;6.100;6.175;6.175.000.000;42681000
17/11/2021;6.225;6.250;6.175;6.250;6.250.000.000;49120900
18/11/2021;6.250;6.250;6.175;6.200;6.200.000.000;29629900
19/11/2021;6.225;6.250;6.200;6.225;6.225.000.000;37505200
22/11/2021;6.250;6.375;6.125;6.200;6.200.000.000;62612600
23/11/2021;6.250;6.300;6.175;6.250;6.250.000.000;31557400
24/11/2021;6.275;6.275;6.200;6.225;6.225.000.000;25645300
25/11/2021;6.250;6.300;6.175;6.225;6.225.000.000;32763500
26/11/2021;6.200;6.225;5.875;5.900;5.900.000.000;93634100
29/11/2021;5.900;6.000;5.750;5.975;5.975.000.000;87367400
30/11/2021;5.950;5.975;5.750;5.775;5.775.000.000;97592700
01/12/2021;5.825;5.850;5.625;5.650;5.650.000.000;102412800
02/12/2021;5.650;5.875;5.600;5.850;5.850.000.000;48422300
03/12/2021;5.900;5.925;5.725;5.750;5.750.000.000;31882900
06/12/2021;5.750;5.800;5.650;5.650;5.650.000.000;53112400
07/12/2021;5.700;5.925;5.700;5.925;5.925.000.000;39679500
08/12/2021;5.925;5.950;5.775;5.800;5.800.000.000;44189500
09/12/2021;5.900;6.000;5.800;6.000;6.000.000.000;35386900
10/12/2021;5.950;5.950;5.800;5.925;5.925.000.000;55629400
13/12/2021;5.925;5.975;5.875;5.900;5.900.000.000;30655800
14/12/2021;5.925;5.925;5.850;5.875;5.875.000.000;17233700
15/12/2021;5.900;6.050;5.875;6.000;6.000.000.000;51113700
16/12/2021;6.025;6.050;5.800;5.800;5.800.000.000;56929600
17/12/2021;5.800;5.825;5.725;5.800;5.800.000.000;55854900
20/12/2021;5.750;5.775;5.675;5.675;5.675.000.000;26290000
21/12/2021;5.675;5.750;5.650;5.650;5.650.000.000;29127800
22/12/2021;5.700;5.775;5.625;5.625;5.625.000.000;33727100
23/12/2021;5.650;5.750;5.625;5.725;5.725.000.000;21744100
24/12/2021;5.725;5.750;5.650;5.675;5.675.000.000;16203800
27/12/2021;5.725;5.750;5.650;5.675;5.675.000.000;20426700
